iter	Passed	Remaining
0	0	64
1	1	59
2	1	57
3	2	53
4	2	52
5	3	53
6	3	52
7	4	52
8	5	51
9	5	51
10	6	51
11	6	50
12	7	50
13	8	49
14	8	48
15	9	48
16	9	47
17	10	46
18	10	46
19	11	47
20	13	49
21	13	48
22	14	47
23	14	47
24	15	46
25	16	45
26	16	44
27	17	44
28	17	43
29	18	43
30	19	42
31	19	41
32	20	40
33	20	40
34	21	39
35	21	38
36	22	38
37	22	37
38	23	36
39	24	36
40	24	35
41	24	34
42	25	33
43	25	33
44	26	32
45	26	31
46	27	31
47	28	30
48	28	29
49	29	29
50	29	28
51	30	28
52	31	27
53	32	27
54	32	26
55	32	25
56	33	25
57	34	24
58	34	24
59	35	23
60	36	23
61	36	22
62	37	21
63	37	21
64	38	20
65	38	20
66	39	19
67	40	18
68	40	18
69	41	17
70	41	17
71	42	16
72	42	15
73	43	15
74	43	14
75	44	14
76	45	13
77	45	12
78	46	12
79	46	11
80	47	11
81	47	10
82	48	9
83	48	9
84	49	8
85	50	8
86	50	7
87	51	6
88	51	6
89	52	5
90	53	5
91	53	4
92	54	4
93	54	3
94	55	2
95	56	2
96	57	1
97	57	1
98	58	0
99	58	0
